name,cuisines,rate,approx_cost(for two people),votes
Jalsa,"North Indian, Mughlai, Chinese",4.1,800.0,775
Spice Elephant,"Chinese, North Indian, Thai",4.1,800.0,787
San Churro Cafe,"Cafe, Mexican, Italian",3.8,800.0,918
Addhuri Udupi Bhojana,"South Indian, North Indian",3.7,300.0,88
Grand Village,"North Indian, Rajasthani",3.8,600.0,166
Timepass Dinner,North Indian,3.8,600.0,286
Rosewood International Hotel - Bar & Restaurant,"North Indian, South Indian, Andhra, Chinese",3.6,800.0,8
Onesta,"Pizza, Cafe, Italian",4.6,600.0,2556
Penthouse Cafe,"Cafe, Italian, Continental",4.0,700.0,324
Smacznego,"Cafe, Mexican, Italian, Momos, Beverages",4.2,550.0,504
CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ© Down The Alley,Cafe,4.1,500.0,402
Cafe Shuffle,"Cafe, Italian, Continental",4.2,600.0,150
The Coffee Shack,"Cafe, Chinese, Continental, Italian",4.2,500.0,164
Caf-Eleven,"Cafe, Continental",4.0,450.0,424
San Churro Cafe,"Cafe, Mexican, Italian",3.8,800.0,918
Cafe Vivacity,Cafe,3.8,650.0,90
Catch-up-ino,"Cafe, Fast Food, Continental, Chinese, Momos",3.9,800.0,133
Kirthi's Biryani,"Chinese, Cafe, Italian",3.8,700.0,144
T3H Cafe,"Cafe, Italian, American",3.9,300.0,93
360 Atoms Restaurant And Cafe,"Cafe, Chinese, Continental, Italian",3.1,400.0,13
The Vintage Cafe,"Cafe, French, North Indian",3.0,400.0,62
Woodee Pizza,"Cafe, Pizza, Fast Food, Beverages",3.7,500.0,180
Cafe Coffee Day,"Cafe, Fast Food",3.6,900.0,28
My Tea House,"Italian, Fast Food, Cafe, European",3.6,600.0,62
Hide Out Cafe,Cafe,3.7,300.0,31
CAFE NOVA,"Cafe, Bakery",3.2,600.0,11
Coffee Tindi,"Cafe, South Indian",3.8,200.0,75
Sea Green Cafe,"Cafe, Fast Food, Beverages",3.3,500.0,4
Cuppa,"Cafe, Fast Food",3.3,550.0,23
Srinathji's Cafe,"North Indian, Cafe, Chinese, Fast Food",3.8,550.0,148
Redberrys,"Cafe, Italian",4.0,600.0,219
Foodiction,"North Indian, Fast Food, Chinese, Burger",2.8,500.0,506
Sweet Truth,"Bakery, Desserts",3.9,500.0,35
Ovenstory Pizza,Pizza,3.9,750.0,172
Faasos,"North Indian, Biryani, Fast Food",4.2,500.0,415
Behrouz Biryani,Biryani,3.9,650.0,230
Fast And Fresh,"North Indian, Chinese, Fast Food",2.8,400.0,91
Szechuan Dragon,"Chinese, Thai, Momos",4.2,600.0,1647
Empire Restaurant,"North Indian, Mughlai, South Indian, Chinese",4.4,750.0,4884
Maruthi Davangere Benne Dosa,South Indian,4.0,150.0,17
Chaatimes,"Street Food, Fast Food",3.8,200.0,133
Havyaka Mess,South Indian,3.9,300.0,28
McDonald's,"Burger, Fast Food",3.9,500.0,286
Domino's Pizza,"Pizza, Fast Food",3.9,800.0,540
Onesta,"Pizza, Cafe, Italian",4.6,600.0,2556
Hotboxit,"North Indian, Continental, Italian",3.8,400.0,36
Kitchen Garden,"North Indian, Chinese",3.6,300.0,244
Recipe,"North Indian, Chinese, Biryani, Rolls",4.0,450.0,804
Beijing Bites,"Chinese, Thai",3.7,850.0,679
Tasty Bytes,"North Indian, Chinese, Momos, Rolls",3.1,300.0,245
Petoo,North Indian,3.7,450.0,21
Shree Cool Point,"Fast Food, Street Food, Beverages",4.1,150.0,28
Corner House Ice Cream,"Ice Cream, Desserts",4.3,400.0,345
Biryanis And More,"Biryani, North Indian, Chinese, Andhra, South Indian",4.0,750.0,618
